,SMILES,logS,y2,y3
sample_43,OC1C(O)C(O)C(O)C(O)C1O,0.35,-12.709004309897459,73.332432881716
sample_44,CC=CC=O,0.32,15.647003292534354,19.618657253736224
sample_45,CCC(N)C(=O)O,0.31,22.04063625234418,34.816154075886864
sample_46,O=C1CCC(=O)N1,0.3,-1.9505005768242953,-4.1958905911435265
sample_47,CC(C)C(=O)O,0.28,17.036550792555683,24.890709376212797
sample_48,CN1CCCCC1,0.23,-11.101296962442984,31.043934330152315
sample_49,CC(=O)CC(C)=O,0.22,10.655486905469623,15.397494530178658
sample_50,CCOC=O,0.15,14.472307839474288,26.17493774095596
sample_51,C=CC#N,0.15,15.442527117835514,25.68263097993871
sample_52,CC1CCCO1,0.11,4.294562381196905,28.00537079049914
sample_53,CC(C)(C)OC(N)=O,0.1,14.880851844034645,28.121739554080776
sample_54,CCC(C)(C)O,0.08,7.517109261345638,39.92762484833168
sample_55,NNc1ccccc1,0.07,18.60181150454832,15.408784058879075
sample_56,CC(C)CO,0.04,-0.4509826302253525,32.75142753769177
sample_57,CCS(=O)(=O)CC,0.04,-0.5866452125515567,17.606863916356264
sample_58,c1cnc2ncncc2n1,0.02,6.910813940686197,-8.313645139031138
sample_59,NNC(=O)c1ccncc1,0.01,19.533092170643517,16.280506273980937
sample_60,Oc1ccccc1,0.0,18.378723963027284,0.8617228175938155
sample_61,CCCC=O,-0.01,10.444290132381543,18.19535453096592
sample_62,CN1C2CCC1C(C(=O)O)C(O)C2,-0.02,-5.952237236920633,19.468871641888956
sample_63,C1CCOCC1,-0.03,-8.414614221457436,17.63416402672764
sample_64,CCC1NC(=O)NC1=O,-0.06,10.556762267439499,9.359563252337228
sample_65,Cc1cc(O)no1,-0.07,23.76270554952083,27.036970064717007
sample_66,CC(O)C(N)C(=O)O,-0.09,21.70140017253467,47.87444414133891
sample_67,CCOCC,-0.09,-1.631617002736105,27.148689070853674
sample_68,O=Cc1ccco1,-0.1,26.362028501027265,10.333847338722972
sample_69,Cc1ncc2nccnc2n1,-0.12,6.985825656088015,-3.1983372527779723
sample_70,CC(C)(S)C(N)C(=O)O,-0.13,12.024943253612859,36.85506381669502
sample_71,CCN(CC)CC,-0.14,-10.047580836848795,34.329620663589345
sample_72,c1cc[nH]c1,-0.17,13.743812525295212,14.818099603643764
sample_73,OC1CC(O)C(O)C(O)C1O,-0.17,-7.740324459097304,54.83418405681832
sample_74,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,-0.17,9.196430331157119,9.08561970185237
sample_75,O=NN1CCCCC1,-0.17,-7.28275906691502,5.987514261792619
sample_76,CCCC(C)=O,-0.19,13.23970160545571,19.21687508107894
sample_77,CCCC(=O)O,-0.19,19.044919626445825,23.438325810096902
sample_78,CN(C)NC(=O)CCC(=O)O,-0.2,14.726404178481504,14.876593055584319
sample_79,O=C(O)CCC(=O)O,-0.2,13.157437353481686,18.92775719725808
sample_80,CC(C)C(C)O,-0.2,-0.8963076401536318,32.94364362844453
sample_81,C=CC(=O)OC,-0.22,21.047372058873826,20.91448100011589
sample_82,CCC(O)CC,-0.24,4.357017004367734,29.608635735479005
sample_83,O=C(O)C1C2CCC(O2)C1C(=O)O,-0.27,-8.340059258413296,14.591805609870235
sample_84,CCCC(C)O,-0.29,9.337475782223324,32.08865790092388
sample_85,CC(C)(C(=O)O)C(C)(CC(=O)O)C(=O)O,-0.29,27.862429892853104,42.726734169633765
sample_86,N#CCCCl,-0.29,5.7141863384128335,16.416588717322135
sample_87,OCc1ccccc1O,-0.29,21.86817652431412,11.537091115162761
sample_88,CC(C)COC(N)=O,-0.3,9.624215669470987,23.114415151474773
sample_89,N#CN=C(N)N,-0.31,18.67568716176894,24.980914328531785
sample_90,CCC(C)(O)CC,-0.38,6.86646003032814,36.063157194332405
sample_91,Nc1ccc(N)cc1,-0.38,1.235262149769782,-2.2517136606603856
sample_92,CCCOC,-0.39,5.076514824379356,26.76724519597046
sample_93,CC(C)C(C)CO,-0.39,-3.7554974628820035,32.861116799706636
sample_94,OCc1ccccc1,-0.4,17.802175024328466,-2.3620961931182363
sample_95,CSCCC(N)C(=O)O,-0.42,14.733389274260166,37.92840522327126
sample_96,Nc1ccccc1N,-0.42,2.1137356401515768,-1.5365003151117518
sample_97,CNC(C)C(O)c1ccccc1,-0.42,10.370886791057126,4.072262688992736
sample_98,OC1CCCCC1,-0.44,-4.7704842999492385,15.119769671924665
sample_99,CC(=O)CC1CCCCN1,-0.45,-0.6027413309125875,15.620603489605429
sample_100,Oc1cccnc1,-0.46,27.25974303502944,16.70223693522419
sample_101,COC(=O)c1cccnc1,-0.46,21.85864965393054,4.017644042289539
sample_102,Cc1ncnc2nccnc12,-0.47,4.585169013617437,-6.203047741395117
sample_103,NCC(O)c1ccccc1,-0.48,15.445916137329048,-1.721828578545105
sample_104,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,-0.48,-23.23015711195665,-9.35436269831474
sample_105,CCCOC=O,-0.49,13.276377187327371,24.76939598628276
sample_106,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,-0.5,-49.27677891471908,105.89424873877526
sample_107,CC(C)(C)CCO,-0.5,-4.68592581952251,27.333679674967254
sample_108,NC(Cc1c[nH]cn1)C(=O)O,-0.53,17.119810687299886,17.068890109514996
sample_109,CCCC(O)C(CC)CO,-0.54,9.699005789045692,39.38903821664193
sample_110,NC(=O)CCC(N)C(=O)O,-0.55,21.931324434105235,24.379374661112667
sample_111,CC1CO1,-0.59,1.656166802325923,34.531881887874945
sample_112,O=C1CCCCC1,-0.6,-5.81506464472929,-2.41284518448473
sample_113,CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6,8.363608549459718,15.699894433772364
sample_114,CC(O)C(C)(C)C,-0.62,4.1397847902820795,36.56250175332547
sample_115,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-0.63,5.1318075494652176,-25.68710515279977
sample_116,ClCCl,-0.63,-13.479904733674717,6.325833766537808
sample_117,CCCCOC(N)=O,-0.66,13.991163887663872,18.12579069683011
sample_118,CCCOCC,-0.66,3.682038934086826,26.603317704870147
sample_119,CCOC(=O)CC,-0.66,11.379599191181356,18.005574482231346
sample_120,Cc1cccc(O)c1,-0.68,24.389620577452646,10.92865954864148
sample_121,O=CNc1ccccc1,-0.68,16.304282699689423,-13.216347818686458
sample_122,Oc1ccc(Cl)cc1,-0.7,16.225388926475876,2.9649186016805307
sample_123,Oc1cccc(Cl)c1,-0.7,23.872549598462122,2.6408479003904195
sample_124,Cc1ccc(O)cc1,-0.7,17.026287186393663,7.396320643131481
sample_125,CCC(O)C(C)C,-0.7,6.764271095364024,35.11742852187815
sample_126,OCCOc1ccccc1,-0.71,16.697694844366342,9.65241824148087
sample_127,CCC(C)C(C)O,-0.72,5.632551454076437,34.21088740764558
sample_128,CCCOC(C)=O,-0.72,13.707294730139411,19.48896124307457
sample_129,CC(C)(C)C(C)(C)O,-0.72,-1.658144135691798,32.95694948112395
sample_130,Nc1ccccc1O,-0.72,20.255241815401043,6.542337658213527
sample_131,OCCN(CCO)c1ccccc1,-0.73,-3.9646441395337706,13.981412306382472
sample_132,C=CC(=O)OCC,-0.74,20.133798569906244,24.195610686443825
sample_133,O=[N+]([O-])c1ccc(O)cc1,-0.74,20.79933697410832,5.068000171789692
sample_134,ONc1ccccc1,-0.74,12.966974297412191,-1.1644196610869437
sample_135,NC(=O)CC(N)C(=O)O,-0.74,19.707111451188105,24.473494990771098
sample_136,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77,-22.945251838177384,64.60500954853629
sample_137,CCOCCOCC,-0.77,-9.954317076602281,32.653763710685084
sample_138,c1ccc2[nH]nnc2c1,-0.78,19.967391926842417,-5.865684753611871
sample_139,Nc1ccc(O)cc1,-0.8,15.551814245724263,8.894358953744092
sample_140,Cn1ccc(=O)[nH]c1=O,-0.8,23.26526139591642,-3.667184647030608
sample_141,CCCC(O)CC,-0.8,8.23135734763574,28.021765255605786
sample_142,C=C(C)C(=O)OC,-0.8,16.511954136732168,22.196538784165835
sample_143,CC(C)(C)COC(N)=O,-0.8,9.965542298818788,22.110184176381864
sample_144,CCOC(=O)CC(=O)OCC,-0.82,9.33978307721674,21.71544162298716
sample_145,c1ccoc1,-0.82,17.427387383560447,16.944276005902296
sample_146,CCCC(=O)OC,-0.82,14.965317902045326,18.7644643801749
sample_147,C=CCSS(=O)CC=C,-0.83,-3.4743662064504757,16.337601644032038
sample_148,C=CC(=O)CCC,-0.83,17.23356919509765,19.841061012125472
sample_149,O=C(O)c1cccnc1,-0.84,28.3430847283344,7.687669652750575
sample_150,CCCCC=O,-0.85,10.90219280508447,15.11842008089189
sample_151,CN(N=O)C(N)=O,-0.85,13.82706158566306,16.380938193634513
sample_152,C=COCC,-0.85,16.793223825308225,36.3453221177635
sample_153,Cc1cccc(N)c1,-0.85,21.596222009215627,6.084950390303082
sample_154,CCC(O)(CC)CC,-0.85,2.146478489983096,29.6360096130558
sample_155,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.85,-4.098880021330614,40.16095404806953
sample_156,O=Cc1ccccc1O,-0.86,23.8643965035155,2.893382697239193
sample_157,Clc1cnc2cncnc2n1,-0.87,4.673017652907452,-12.683562435524141
sample_158,CC1CCC(O)CC1,-0.88,-5.404605597488166,25.431924043676087
sample_159,CCCC(C(C)=O)C(C)=O,-0.88,12.439995888681308,20.603864122607654
sample_160,ClCBr,-0.89,-13.581074365714462,8.000720820950752
sample_161,O=C(O)Cc1ccccc1,-0.89,24.20720067502997,-8.033046058686423
sample_162,CC(=O)NC(N)=O,-0.9,15.117285429271494,10.615140238183676
sample_163,COc1cnc2cncnc2n1,-0.91,9.425825669914241,4.505799794928079
sample_164,CC(O)c1ccccc1,-0.92,18.359631732502887,2.5700966364124915
sample_165,CC(C)CC(C)(C)O,-0.92,2.6914257513506983,38.41313561120353
sample_166,CCOC(=O)CCC(=O)OCC,-0.96,-0.5383699034803828,21.603646917207943
sample_167,CC=CCC#N,-0.96,15.166109465192505,24.994399435515263
sample_168,NC(=O)c1ccccc1,-0.96,18.926750431240833,-13.174696595594803
sample_169,O=Cc1ccc(O)cc1,-0.96,21.466333318584734,5.0766619188132935
sample_170,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.97,7.102495976533802,-17.85485503830227
sample_171,CC(=O)Nc1ccc(N)cc1,-0.98,11.26263635587736,-9.411039421641846
sample_172,O=C1C=CC(=O)C=C1,-0.99,-1.5739420100032095,2.4810726456751016
sample_173,CCCCOC,-0.99,6.509944365697874,27.3406291644138
sample_174,CI,-1.0,-19.347914579164037,4.879292071540328
sample_175,CCCC(C)(O)CC,-1.0,8.717794376516512,31.27111910602609
sample_176,CC(C)COC=O,-1.01,9.227829938170753,27.424159652189125
sample_177,CC(=O)Nc1ccc(O)cc1,-1.03,17.93572427516199,4.901136528345909
sample_178,c1ccc2c(c1)CCN2,-1.04,11.822203205496402,-6.331573261015943
sample_179,O=c1[nH]cc(F)c(=O)[nH]1,-1.07,22.713411455082277,-8.69692976952131
sample_180,CCCCC(C)(C)O,-1.08,8.138262992042906,35.21831047317168
sample_181,Oc1ccc(Br)cc1,-1.09,8.292642548277124,-6.146930188968018
sample_182,CCBr,-1.09,-10.737383090268809,15.804693186034193
sample_183,CC(C)OC(C)C,-1.1,-9.573778037810015,34.77227074905625
sample_184,O=C(O)COc1ccccc1,-1.1,23.37194900675841,1.8305381656665005
sample_185,COc1ncc2nccnc2n1,-1.11,5.205065298075742,-3.0340866379417077
sample_186,COc1ncnc2nccnc12,-1.11,6.393509659220642,-1.023131698525037
sample_187,NCCc1ccc(O)cc1,-1.12,10.694639120700112,12.978863988148793
sample_188,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13,-13.038876519135503,7.615721806143123
sample_189,CC(C)CCCO,-1.14,1.9502269063592885,31.49059930193542
sample_190,Nc1cc[nH]c(=O)n1,-1.14,26.04804714014428,3.888970094963309
sample_191,c1ccc2ocnc2c1,-1.16,29.67421811022137,-7.331258074437195
sample_192,O=S(CCCl)CCCl,-1.16,-19.872970912892047,4.545834146244903
sample_193,CCC(CC)CO,-1.17,-2.792172049490236,26.64684376953445
sample_194,ClC(Cl)Cl,-1.17,-17.028252192108674,3.5879868773987704
sample_195,Cc1ccc(O)c(C)c1,-1.19,20.180251414179047,11.423911669238901
sample_196,O=Cc1ccccc1,-1.19,19.358497232655875,-17.910486221833548
sample_197,Cc1ccc(CO)cc1,-1.2,16.390678730733146,3.7245191141861436
sample_198,COC(=O)C1C2C=CC(C2)C1C(=O)OC,-1.2,-6.509975484000216,13.155046023883358
sample_199,C=CC(=O)OCC(C)C,-1.21,16.376422699714727,26.74799847712137
sample_200,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-1.22,-0.013473695725790926,38.61939207593559
sample_201,CC(C)C(O)C(C)C,-1.22,-6.144319800333803,29.79284612197785
sample_202,NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.23,15.62567652777356,-13.78093609865066
sample_203,CC(=O)NS(=O)(=O)c1ccc(N)cc1,-1.23,6.927297763560854,-8.6415218985435
sample_204,CCCCOC(C)=O,-1.24,12.194096055532299,16.811822979392378
sample_205,CCCCCCO,-1.24,2.711452680412488,21.07968768205051
sample_206,O=C1NC(=O)C(=O)C(=O)N1,-1.25,4.55042790057168,-12.986246720935466
sample_207,CCC(C)(O)C(C)(C)C,-1.27,2.008631612976214,30.04574621666733
sample_208,CC(=O)c1ccccc1,-1.28,19.252858787263687,-15.894418606055416
sample_209,CC(=O)c1cccc(N)c1,-1.28,20.009203949389295,-6.367446553253905
sample_210,CCCC(=O)OCC,-1.28,11.736653474094286,18.267538480694274
sample_211,CC(Cl)Cl,-1.29,-6.920783915274797,15.409477469237457
sample_212,COc1ccc(NC(C)=O)cc1,-1.3,16.759077801719048,-0.5575334821479866
sample_213,c1ccc2ncccc2c1,-1.3,16.634063810946436,-20.94556321561569
sample_214,CCCCCC=O,-1.3,10.523544739810555,12.856642956588852
sample_215,ClCCBr,-1.32,-13.498897621400978,6.5326804337975695
sample_216,CC(=O)Nc1ccccc1,-1.33,16.178946169496275,-17.20565697291781
sample_217,CC(=O)CCC(C)C,-1.33,3.212661805320091,20.315693577310824
sample_218,CCc1ccccc1O,-1.36,22.335307706633987,7.808238186592043
sample_219,CCCCC(=O)OC,-1.36,14.598376465701033,16.12646106337521
sample_220,N=C(N)N[N+](=O)[O-],-1.37,18.270660920244456,27.103159966863988
sample_221,Nc1cccc(Cl)c1,-1.37,15.900049106581159,-3.2469995665628177
sample_222,OCCCc1ccccc1,-1.38,11.882307753768027,-2.39520887307231
sample_223,CC(C)CCC(C)O,-1.38,0.8765438203726952,32.50171852873195
sample_224,CCC1(CC)C(=O)NC(=O)NC1=O,-1.39,-1.6784974321063655,1.2586080087516138
sample_225,Cc1cc(C)cc(O)c1,-1.4,11.496775295993945,14.013350274142015
sample_226,CCN(CC)CCOC(=O)c1ccc(N)cc1,-1.4,-6.769863681576375,5.348817347271483
sample_227,CC(=O)Nc1ccccc1Cl,-1.4,13.301055178890255,-15.839166568709556
sample_228,CCCC(O)CCC,-1.4,-0.38691794237963206,23.630027749336218
sample_229,O=C(O)CCc1ccccc1,-1.41,19.863969346657978,-8.38977352050333
sample_230,CCCCCC(C)=O,-1.42,7.7361809356790605,13.595235554370044
sample_231,c1ccc(-c2ccccn2)nc1,-1.42,-1.4213972385589368,-10.260577218413529
sample_232,Cc1cccc(O)c1C,-1.43,19.948524571252317,13.186022535383602
sample_233,CCCCNCCCC,-1.44,-8.2207220424023,37.86583291167344
sample_234,c1ccsc1,-1.45,10.820993169566451,9.60018190627384
sample_235,c1ccc2cnccc2c1,-1.45,16.116739937622576,-14.284419822512497
sample_236,O=C(O)c1ccsc1,-1.47,25.423261538116886,7.389856597461574
sample_237,CCCCl,-1.47,-1.4348277263264775,21.490631422550173
sample_238,ClCC(Cl)Cl,-1.48,-9.028726697306633,10.620114846319623
sample_239,COc1ccc(C=O)cc1,-1.49,20.168858681263295,4.757685904561192
sample_240,O=S(=O)(CCCl)CCCl,-1.5,-7.687636081289374,7.174316135039483
sample_241,N=C(N)NCC(=O)O,-1.51,22.538156630627412,33.87663241900012
sample_242,c1ccc2[nH]ccc2c1,-1.52,21.569318414910025,-13.705472874034305
sample_243,CCCC(C)(C)CO,-1.52,2.836016370355345,28.527452932686757
sample_244,Nc1ccccc1C(=O)O,-1.52,23.693102206426516,-2.4271194993445064
sample_245,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,-1.52,-19.334085339185346,8.650719065848744
sample_246,NCc1ccccc1,-1.53,11.990361871527103,-6.118821174084294
sample_247,c1cc(-c2ccncc2)ccn1,-1.54,-7.1981297812444,-2.3655566282045233
sample_248,Cc1ccc(C)c(O)c1,-1.54,19.644638514958285,12.691239524752339
sample_249,CC(C)(C)CCCO,-1.55,-4.878486795147745,28.058554347456774
sample_250,O=C(O)c1ccccc1,-1.55,22.29309983593379,-5.267944296154414
sample_251,Cc1cccc(C)c1NC(=O)C1CCCCN1C,-1.55,-6.822889856550968,-5.045212741574079
sample_252,CSc1cnc2cncnc2n1,-1.55,3.2712119799552823,-2.8755885856320633
sample_253,Oc1ccc(Cl)cc1Cl,-1.55,18.300878478617918,-3.265391510989364
sample_254,CCCCCC(C)O,-1.55,9.198700495776713,29.587598619467
sample_255,CCCCC(=O)CC(C)=O,-1.56,14.653147083299725,13.94881366262471
sample_256,C=CCc1ccc(O)c(OC)c1,-1.56,22.03008667459303,17.91999822592787
sample_257,Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O,-1.56,18.69579964393851,-23.168446200903198
sample_258,Cc1cc(O)ccc1Cl,-1.57,22.477249837664765,9.95755818715648
sample_259,CNC(=O)Oc1ccccc1C1OCCO1,-1.57,1.332938698278705,-3.65698138026812
sample_260,CC(=O)Nc1ccc(C=O)cc1,-1.58,11.110411406298029,-10.837689455550477
sample_261,COC(=O)c1ccc(N)cc1,-1.59,12.776893298541703,-1.5251825480562797
sample_262,c1ccc(C2CO2)cc1,-1.6,7.865836062001725,-7.680035918865607
sample_263,CC(Cl)CCl,-1.6,-3.4619165266224625,19.681564099933386
sample_264,CC(=O)CC(=O)CC(C)C,-1.6,11.899913017306826,18.124020433671166
sample_265,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.6,11.805055456850877,8.661903126998094
sample_266,O=C(O)c1ccccc1C(F)(F)F,-1.6,26.806953012991777,-15.268579437109912
sample_267,CC(C)CC(C)CO,-1.6,-2.9140639607138272,32.50894276929654
sample_268,CN(C)C(=O)Nc1ccccc1,-1.6,7.689575132478993,-19.339293067353065
sample_269,CC(=O)Nc1ccc(S(N)(=O)=O)cc1,-1.61,8.125089396243103,-2.3495767267547985
sample_270,COc1ccc(CC2NCC(O)C2OC(C)=O)cc1,-1.61,-1.3069766412880894,14.978591188676452
sample_271,CNC(=O)ON=C(CSC)C(C)(C)C,-1.62,2.528266345700931,23.496034745339163
sample_272,C=CCN(CC=C)C(=O)C(Cl)Cl,-1.62,1.6525829069157532,11.727009533574178
sample_273,ClCCCCl,-1.62,-16.279655424328396,9.291986878134065
sample_274,CCCOCCC,-1.62,-6.018125206517874,22.19409809776596
sample_275,O=Cc1ccc2c(c1)OCO2,-1.63,16.52240338737846,-1.566746259766842
sample_276,c1ccccc1,-1.64,-0.1089289322172176,-10.493018848727262
sample_277,C=C(Cl)Cl,-1.64,-5.27711350714784,5.704911983534221
sample_278,O=C1NS(=O)(=O)c2ccccc21,-1.64,12.616640688836627,-21.013092251546862
sample_279,CC12CCC(CC1)C(C)(C)O2,-1.64,-15.921230773010477,31.720641950515
sample_280,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.64,-0.715860220452204,0.7204032810988564
sample_281,Nc1ccc(Cl)cc1,-1.66,11.797929231827586,-3.8775111935141657
sample_282,CCCC(C)(COC(N)=O)COC(N)=O,-1.67,15.007402873810786,26.475235030021942
sample_283,CC(=O)OC1CCCCC1,-1.67,5.402123385762898,12.859899187208637
sample_284,O=C(O)c1cccc([N+](=O)[O-])c1,-1.68,28.16364734249492,-1.0804924511795688
sample_285,BrCCBr,-1.68,-30.174130058283136,-11.009412119143532
sample_286,COc1c(Cl)ccc(Cl)c1C(=O)O,-1.7,22.954800382706246,-0.9723111081738879
sample_287,CCNc1ccccc1,-1.7,11.938872454011145,0.20451679391600308
sample_288,CCCCCCC=O,-1.7,8.296685166159737,11.816591749679215
sample_289,FC(F)(F)C(Cl)Br,-1.71,-7.341104319151943,-0.3962596221307395
sample_290,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.71,7.8101255861540135,7.725639761778487
sample_291,CCCCCC(C)(C)O,-1.72,5.898076088055537,30.13363036847852
sample_292,CCCCC(C)C(C)O,-1.72,5.797583133508462,33.91701866471587
sample_293,O=C1C=CC(O)(c2cc(O)ccc2O)C=C1,-1.73,12.56931955290082,19.052629392533362
sample_294,CCCBr,-1.73,-10.2979195257057,14.335386916747568
sample_295,O=[N+]([O-])c1ccccc1O,-1.74,26.31491594739575,4.837681409336555
sample_296,ClC(Cl)C(Cl)Cl,-1.74,-15.705609175204629,1.093830110195125
sample_297,Cc1ccc(S(N)(=O)=O)cc1,-1.74,9.555475550734036,-3.6218022234742566
sample_298,CCCCC(=O)OCC,-1.75,11.259275635177216,17.247840206002426
sample_299,CSc1ncc2nccnc2n1,-1.76,-0.7203225505652756,-6.876914843205099
sample_300,NC(=O)c1ccccc1O,-1.76,28.699498824581802,2.832363335293095
sample_301,CCN(CC)CC(=O)Nc1c(C)cccc1C,-1.76,-7.199307002083251,-1.8986992773676774
sample_302,CC=CC=CC(=O)O,-1.77,24.927256048298105,22.421355945494135
sample_303,NC(=S)Nc1ccccc1,-1.77,5.77681046625428,-8.257437431699918
sample_304,O=C1CSC(=S)N1,-1.77,-1.8794403665551125,-0.12209978657922319
sample_305,COC(=O)c1ccc(O)cc1,-1.78,18.965225390984006,8.788589662973584
sample_306,CCCOC(=O)c1cc(O)c(O)c(O)c1,-1.78,14.86335355654699,24.07110494927264
sample_307,CC(=O)Nc1ccc(F)cc1,-1.78,12.896069309857458,-13.287079544817322
sample_308,O=[N+]([O-])c1ccccc1,-1.8,15.024582196367787,-14.853330815186794
sample_309,CNC(=O)Oc1cccc(C)c1,-1.8,20.012278883238253,-1.3260156909432186
sample_310,Fc1ccccc1,-1.8,13.147977344296057,-19.926509506629888
sample_311,CCCCCCCO,-1.81,-0.6685665335401321,21.19681972134701
sample_312,O=C(O)c1ccccc1O,-1.82,29.099865950987354,6.03307139149115
sample_313,CCC(=O)c1ccccc1,-1.83,18.166891824380144,-19.3986321315179
sample_314,CC(=O)N=c1sc(S(N)(=O)=O)nn1C,-1.83,8.40035906667601,1.1404913157118328
sample_315,C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,-1.84,-24.463422503495778,26.831396205882665
sample_316,CCCCOCCCC,-1.85,-6.974615630050076,26.109028640014618
sample_317,COc1ccccc1,-1.85,21.282834681944014,7.211138587070276
sample_318,CCCC(CCC)C(=O)O,-1.86,14.580430541031047,24.36014957017713
sample_319,COc1ccc2c(c1O)C13CCN(C)C1(C=CC(=O)C3)CC2,-1.87,-10.948941636091103,1.6035179859912976
sample_320,CC1CCCC(=O)C1,-1.87,3.323744571639724,9.531312322274209
sample_321,C1CCN2CC3CC(CN4CCCCC34)C2C1,-1.89,-43.446667596297395,30.23877978226259
sample_322,CCCCCOC(C)=O,-1.89,11.759895249343566,16.540861962779314
sample_323,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,-1.89,-2.684845767726811,0.3359378768811651
sample_324,COc1ccc2c(c1OC)C(=O)OC2,-1.89,10.205234460792376,-0.8591956688504468
sample_325,O=C(O)CCCCCCCC(=O)O,-1.89,-2.226620937053276,19.536550435161296
sample_326,ClC(Br)Br,-1.9,-26.66775145387367,-6.2076937389268485
sample_327,BrC(Br)Br,-1.91,-43.378581635656126,-13.934486954657897
sample_328,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-1.91,-13.246951355725358,-3.1430532174579926
sample_329,CC(=O)Nc1ccc(OC(C)=O)cc1,-1.91,9.915703858081866,-5.680294467648809
sample_330,CCCOC(=O)CCC,-1.92,10.789789208069578,17.02758778124862
sample_331,COc1ccc(C=O)c(C(=O)O)c1OC,-1.92,26.814599079259946,13.240782242836307
